timestamps,open,high,low,close,volume
2026-03-15 15:00:00,71622.04,71626.0,71410.0,71481.24,210.01259
2026-03-15 16:00:00,71481.24,71586.75,71320.08,71437.35,302.61771
2026-03-15 17:00:00,71437.35,71989.93,71409.74,71819.95,365.80062
2026-03-15 18:00:00,71819.96,71885.55,71321.87,71390.53,321.10675
2026-03-15 19:00:00,71390.53,71582.83,71338.67,71549.94,251.59972
2026-03-15 20:00:00,71549.94,71930.0,71433.75,71730.81,236.54566
2026-03-15 21:00:00,71730.81,72222.0,71629.99,72109.58,459.80342
2026-03-15 22:00:00,72109.59,73081.77,71725.74,72749.44,1471.44945
2026-03-15 23:00:00,72749.45,73199.0,72420.44,72815.24,1393.63061
2026-03-16 00:00:00,72815.25,73008.94,72452.26,72531.26,685.4345
2026-03-16 01:00:00,72531.27,72852.28,72270.41,72752.9,715.87613
2026-03-16 02:00:00,72752.9,72852.28,72368.08,72514.69,487.11967
2026-03-16 03:00:00,72514.69,74330.34,72436.02,73573.32,3424.72669
2026-03-16 04:00:00,73573.31,74451.03,73573.31,73835.62,1907.76761
2026-03-16 05:00:00,73835.62,74258.07,73720.0,74207.49,1421.12171
2026-03-16 06:00:00,74207.49,74207.5,73610.0,73714.36,1229.39836
2026-03-16 07:00:00,73714.36,73924.83,73385.18,73456.68,958.93738
2026-03-16 08:00:00,73456.69,73776.13,72888.8,73135.0,1562.06854
2026-03-16 09:00:00,73135.0,73331.88,73057.25,73260.92,531.7209
2026-03-16 10:00:00,73260.92,73783.42,73202.89,73783.42,1038.45265
2026-03-16 11:00:00,73783.42,73838.76,73515.33,73552.77,680.69185
2026-03-16 12:00:00,73552.78,74044.0,73465.46,73864.8,921.55759
2026-03-16 13:00:00,73864.81,74509.52,73787.0,74109.55,1593.51066
2026-03-16 14:00:00,74109.56,74460.19,72990.52,73565.54,2204.69587
2026-03-16 15:00:00,73565.54,74030.0,73186.5,73274.76,1024.65577
2026-03-16 16:00:00,73274.75,73901.95,73160.66,73760.63,1016.72181
2026-03-16 17:00:00,73760.63,74065.7,73648.7,73943.18,906.04408
2026-03-16 18:00:00,73943.17,74356.32,73860.0,73913.6,1086.95746
2026-03-16 19:00:00,73913.6,74418.6,73781.54,73963.0,1122.08511
2026-03-16 20:00:00,73963.0,74248.95,73863.2,74236.9,424.59345
2026-03-16 21:00:00,74236.9,74799.0,74150.0,74401.36,1246.95221
2026-03-16 22:00:00,74401.35,74899.99,74378.43,74772.66,1058.73068
2026-03-16 23:00:00,74773.56,74909.08,74250.21,74884.67,1159.70951
2026-03-17 00:00:00,74884.67,75520.23,74614.18,75318.48,2173.5367
2026-03-17 01:00:00,75318.48,76000.0,75074.37,75623.91,1953.08873
2026-03-17 02:00:00,75623.91,75677.66,75114.67,75198.02,1068.24779
2026-03-17 03:00:00,75198.02,75326.15,74268.73,74463.98,1730.33731
2026-03-17 04:00:00,74463.98,74712.89,73980.16,74252.01,2017.11887
2026-03-17 05:00:00,74252.0,74459.99,73784.0,74036.74,1250.81696
2026-03-17 06:00:00,74036.74,74276.66,73877.56,74085.45,879.74749
